iso,umd_tree_cover_loss__year,,umd_tree_cover_loss__ha,umd_tree_cover_loss_from_fires__ha
MMR,2002,MMR2002,66119.46105,1072.490992
MNE,2002,MNE2002,179.6207712,16.16363117
MNG,2002,MNG2002,18727.92025,13915.56586
MOZ,2002,MOZ2002,106663.2614,463.7073173
MSR,2002,MSR2002,1.62272987,0
MTQ,2002,MTQ2002,48.86224871,0.521550951
MUS,2002,MUS2002,154.4299605,0
MWI,2002,MWI2002,4196.646257,7.453163842
MYS,2002,MYS2002,312841.1396,5416.062582
MYT,2002,MYT2002,20.86919036,0.150136343
NAM,2002,NAM2002,109.5489202,1.980552373
NCL,2002,NCL2002,626.8680588,93.66368237
NER,2002,NER2002,0.676416444,0
NGA,2002,NGA2002,32346.71006,58.63066767
NIC,2002,NIC2002,54178.2492,641.9057232
NLD,2002,NLD2002,824.6301835,26.3864452
NOR,2002,NOR2002,26635.75319,907.2046102
NPL,2002,NPL2002,2128.64331,333.5069084
NZL,2002,NZL2002,63227.68328,1003.288881
PAK,2002,PAK2002,311.2960485,140.0328328
PAN,2002,PAN2002,19206.5274,800.3441737
PER,2002,PER2002,80455.86555,3957.192487
PHL,2002,PHL2002,32308.66643,488.3216298
PLW,2002,PLW2002,75.22447916,2.212255787
PNG,2002,PNG2002,54575.27413,2023.918919
POL,2002,POL2002,31070.23898,237.4053098
PRI,2002,PRI2002,1168.095778,10.46444618
PRK,2002,PRK2002,5358.283502,1799.221895
PRT,2002,PRT2002,34902.98857,8453.282702
PRY,2002,PRY2002,195118.5012,17721.36918
PSE,2002,PSE2002,1.830287115,0.71924995
REU,2002,REU2002,502.6683752,0
ROU,2002,ROU2002,16356.49868,372.641125
RUS,2002,RUS2002,2700383.934,1998379.94
RWA,2002,RWA2002,941.492413,0.92278693
SDN,2002,SDN2002,76.10035582,0.529563453
SEN,2002,SEN2002,164.4305544,0
SGP,2002,SGP2002,123.516999,0.153818089
SLB,2002,SLB2002,3866.182793,53.49018096
SLE,2002,SLE2002,15310.24197,103.0555193
SLV,2002,SLV2002,4666.434912,197.9461479
SMR,2002,SMR2002,0.111479129,0
SOM,2002,SOM2002,250.8913304,1.221240744
SPM,2002,SPM2002,0.211713126,0.105639805
SRB,2002,SRB2002,1134.989088,77.77735724
SSD,2002,SSD2002,8148.603042,73.4556225
SUR,2002,SUR2002,3717.477562,324.3316147
SVK,2002,SVK2002,4014.55003,52.51125706
SVN,2002,SVN2002,725.2641246,35.45279736
SWE,2002,SWE2002,178264.0398,1452.643143
SWZ,2002,SWZ2002,3800.490421,18.21190928
SXM,2002,SXM2002,0.439427723,0
SYC,2002,SYC2002,0.227775334,0
SYR,2002,SYR2002,147.9991941,5.992578304
TCA,2002,TCA2002,4.652026517,0.143110231
TCD,2002,TCD2002,1958.323564,1.749341946
TGO,2002,TGO2002,2018.338536,3.28074903
THA,2002,THA2002,60879.86595,396.3821302
TJK,2002,TJK2002,36.33162911,6.094107323
TKM,2002,TKM2002,105.1787401,43.51339022
TLS,2002,TLS2002,1604.598898,94.11694715
TTO,2002,TTO2002,726.0770093,14.07852496
TUN,2002,TUN2002,243.9336482,64.40157156
TUR,2002,TUR2002,25722.22142,3270.287315
TWN,2002,TWN2002,1004.574022,45.57868761
TZA,2002,TZA2002,85080.21703,172.0262989
UGA,2002,UGA2002,10840.46637,4.535578675
UKR,2002,UKR2002,27076.87543,1271.613672
UMI,2002,UMI2002,6.505533058,0
URY,2002,URY2002,6897.837947,212.3787993
USA,2002,USA2002,2038414.533,539360.8204
UZB,2002,UZB2002,265.2317188,65.04813497
VCT,2002,VCT2002,7.945998949,0
VEN,2002,VEN2002,90339.96309,3152.827358
VGB,2002,VGB2002,2.996441556,0
VIR,2002,VIR2002,20.90283313,0.440150923
VNM,2002,VNM2002,49624.49224,554.4032478
VUT,2002,VUT2002,108.2396496,1.484036818
XAD,2002,XAD2002,1.014404453,0
XKO,2002,XKO2002,214.734836,4.334991911
Z01,2002,Z012002,400.4146165,73.32235449
Z06,2002,Z062002,13.71570388,4.919522386
Z07,2002,Z072002,4766.119924,83.59341517
ZAF,2002,ZAF2002,47680.20956,1995.31127
ZMB,2002,ZMB2002,46274.91325,142.2679638
ZNC,2002,ZNC2002,6.681694833,2.016723596
ZWE,2002,ZWE2002,8009.991248,35.45389045
ABW,2003,ABW2003,0.9770576,0.225474793
AFG,2003,AFG2003,244.3362552,186.5676988
AGO,2003,AGO2003,52464.0328,314.3572926
AIA,2003,AIA2003,1.097745085,0
ALA,2003,ALA2003,220.736265,5.595624956
ALB,2003,ALB2003,613.533965,264.6544773
AND,2003,AND2003,0.342063642,0
ARG,2003,ARG2003,249106.7574,20780.85969
ARM,2003,ARM2003,395.8166949,68.18278762
ATG,2003,ATG2003,17.07802261,0.736088778
AUS,2003,AUS2003,373847.1559,251901.9047
AUT,2003,AUT2003,14484.86245,78.38343816
AZE,2003,AZE2003,1039.283001,94.81775383
BDI,2003,BDI2003,1325.183318,6.07037587
BEL,2003,BEL2003,1889.777513,18.13261559
BEN,2003,BEN2003,3474.558078,2.211167311
BES,2003,BES2003,16.15018967,5.212132456
BFA,2003,BFA2003,2.038243484,0
BGD,2003,BGD2003,2159.457158,44.08836255
BGR,2003,BGR2003,5198.715558,157.6027541
BHS,2003,BHS2003,274.2308763,19.03619095
BIH,2003,BIH2003,307.8114117,56.79808717
BLR,2003,BLR2003,32119.52178,3534.772375
BLZ,2003,BLZ2003,6839.424237,934.7927865
BMU,2003,BMU2003,0.130570243,0
BOL,2003,BOL2003,163718.228,10750.0816
BRA,2003,BRA2003,3248392.073,175361.0139
BRB,2003,BRB2003,2.997849387,0
BRN,2003,BRN2003,799.1000652,104.6667779
BTN,2003,BTN2003,543.6007673,65.32483143
BWA,2003,BWA2003,8.572551344,0
CAF,2003,CAF2003,13726.56116,137.0785883
CAN,2003,CAN2003,1607282.619,899759.9697
CHE,2003,CHE2003,432.012422,2.077740904
CHL,2003,CHL2003,82878.56237,4372.248353
