"iso","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"VIR",2020,14.00582780646592895,5558.242762619321226
"VNM",2020,207647.83186279579923642,157081750.239350142368239
"VUT",2020,3935.03410784822112334,2479161.54099859235920
"XAD",2020,1.144118643576389,654.0796203670368
"XKO",2020,970.674474934084256752,535346.209993112685086
"Z01",2020,41.27344476414822583,27941.85808804175669
"Z06",2020,2.26615802366970497,682.121854656286221
"Z07",2020,6819.31678247422136118,3701697.619995328879222
"ZAF",2020,62247.23386544652700309,40495036.702908110204037
"ZMB",2020,162801.58944267598831458,60708721.051884358622748
"ZNC",2020,12.37025114204861366,2194.86829280203447
"ZWE",2020,6200.71249399641255021,3456851.594247171399989
"AFG",2021,26.48246160191733579,6772.0752140944775802
"AGO",2021,298261.68435422069604521,119823558.576557828867531
"AIA",2021,1.68278169644097235,554.380974433959522
"ALA",2021,1355.481820779998287747,422422.305837106016521
"ALB",2021,1685.677235689262938661,506228.3011663940449432
"AND",2021,2.22471297738064256,1301.958770695676346
"ARG",2021,201896.344452604885387278,63898345.8462067876661370
"ARM",2021,4.96472232192057267,2185.50061613783272
"ATG",2021,39.15892521036023873,14621.138413003669386
"AUS",2021,261044.955942212931114602,97868017.5354488522123980
"AUT",2021,16650.647931454758903066,9316885.1897549451246899
"AZE",2021,85.226337261263044463,36247.277528746936765
"BDI",2021,2272.25175327985187219,1449769.326034755764822
"BEL",2021,9142.949797379095405714,5404048.817465641739219
"BEN",2021,1699.54014162905355648,1606323.838288706031599
"BES",2021,0.22568747203938805,76.42685268721695
"BFA",2021,0.0,43859.007129542767166
"BGD",2021,17587.28243270613064259,10535020.702165640608162
"BGR",2021,6684.012024956961746331,3281640.7573971304422346
"BHS",2021,1548.74388476882647534,455373.539283801965145
"BIH",2021,1018.740783485177949556,567773.0520853805898293
"BLR",2021,63478.932386615300656905,26159879.4460009222235625
"BLZ",2021,9310.73375697314819556,4499449.119837236097760
"BOL",2021,559588.66506381429671868,196891092.156009303155505
"BRA",2021,2990028.76131566724111879,1868490742.521474163033152
"BRB",2021,17.23879269510959487,7506.246946525421535
"BRN",2021,952.93058214787850086,634880.993075440273307
"BTN",2021,1278.57589323634451911,694377.753077376144683
"BWA",2021,1.42478080287760428,572.159867236835711
"CAF",2021,67180.99665510714057162,36009852.584658811708846
"CAN",2021,2524984.969306079668969222,1022235434.8428887765519281
"CHE",2021,3454.853211812606719604,2100877.7690109537771076
"CHL",2021,71609.984379257627599768,50659161.8070871252072918
"CHN",2021,536772.366491661196774308,277590420.4588070323686789
"CIV",2021,183272.23436631583334536,114081427.588697859109866
"CMR",2021,168797.41740747861024801,106351349.080393197365394
